FieldHostUID	ColEventUID	HostNumber	FieldIdent	FieldNotes	CreateDate	UpdateDate	CreatedBy	UpdatedBy	TripUID	HostF	HostG	HostSp	HostSSp	HostAuthor	HostDetBy	HerbID	history
30	10506	H001	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	313	1589	2134	0	3485	P.G. Wilson 1996	NSW 395900	Myrtaceae;Darwinia;fascicularis;Rudge;P.G. Wilson 1996;NSW 395900
31	10508	H004	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	211	1765	2432	0	3191	P.H. Weston 1996	NSW 395903	Fabaceae;Phyllota;phylicoides;(Sieber ex DC.) Benth.;P.H. Weston 1996;NSW 395903
32	10508	H005	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	187	1662	809	0	3467	B.J. Conn 1996	NSW 395904	Dilleniaceae;Hibbertia;linearis;R. Br. ex DC.;B.J. Conn 1996;NSW 395904
33	10508	H011	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	1483	1704	813	0	3405	K.L. Wilson 1997	NSW 395905	Lomandraceae;Lomandra;longifolia;Labill.;K.L. Wilson 1997;NSW 395905
34	10508	H012	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	1487	1592	1963	0	3499	R.G. Coveny 1996	NSW 395906	Phormiaceae;Dianella;caerulea;Sims;R.G. Coveny 1996;NSW 395906
35	10509	H002	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	211	396	2340	0	3303	B.J. Conn 1996	NSW 395901	Fabaceae;Acacia;mearnsii;De Wild. [introduced];B.J. Conn 1996;NSW 395901
36	10509	H003	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	313	1684	642	0	3202	P.G. Wilson 1996	NSW 395902	Myrtaceae;Kunzea;ambigua;(Smith) Druce;P.G. Wilson 1996;NSW 395902
37	10510	H010	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	176	1637	2016	0	3271	R.G. Coveny 1996	NSW 395911	Cyperaceae;Gahnia;clarkei;Benl;R.G. Coveny 1996;NSW 395911
38	10511	H007	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	98	1750	2085	0	3235	J. Everett May 1996	NSW 395908	Asteraceae;Ozothamnus;diosmifolius;(Vent.) DC.;J. Everett May 1996;NSW 395908
39	10511	H006	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	94	1521	813	0	1159	B.M. Wiecek 1996	NSW 395907	Araliaceae;Astrotricha;longifolia;Benth.;B.M. Wiecek 1996;NSW 395907
40	10511	H008	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	313	1717	2381	0	3204	P.G. Wilson 1996	NSW 395909	Myrtaceae;Melaleuca;nodosa;(Sol. ex Gaertner) Smith;P.G. Wilson 1996;NSW 395909
41	10512	H014	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	142	1502	2561	0	3404	R.G. Coveny 1996	NSW 395913	Casuarinaceae;Allocasuarina;simulans;L. Johnson;R.G. Coveny 1996;NSW 395913
42	10512	H015	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	313	1717	2381	0	3204	P.G. Wilson 1996	NSW 395914	Myrtaceae;Melaleuca;nodosa;(Sol. ex Gaertner) Smith;P.G. Wilson 1996;NSW 395914
43	10513	H013	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	98	1750	2085	0	3235	J. Everett May 1996	NSW 395912	Asteraceae;Ozothamnus;diosmifolius;(Vent.) DC.;J. Everett May 1996;NSW 395912
44	10514	H016	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	63	1550	2501	0	3465	K.D. Hill 1996	NSW 395915	Cupressaceae;Callitris;rhomboidea;R. Br. ex A. Rich. & Rich.;K.D. Hill 1996;NSW 395915
45	10518	H021	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	142	1563	2050	2708	3434	R.G. Coveny 1996	NSW 395920	Casuarinaceae;Casuarina;cunninghamiana;subsp. cunninghamiana;Miq.;R.G. Coveny 1996;NSW 395920
46	10518	H022	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	325	1738	2348	0	3464	K.D. Hill 1996	NSW 395921	Oleaceae;Notelaea;microcarpa;R. Br.;K.D. Hill 1996;NSW 395921
47	10518	H024	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	18	1544	2457	0	3184	B.J. Conn 1996	NSW 395923	Sterculiaceae;Brachychiton;populneus;(Schott & Endl.) R. Br.;B.J. Conn 1996;NSW 395923
48	10518	H019	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	45	614	2241	0	3460	B.J. Conn 1996	NSW 395918	Urticaceae;Urtica;incisa;Poir.;B.J. Conn 1996;NSW 395918
49	10518	H023	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	280	1591	2682	0	2981	B.M. Wiecek 1996	NSW 395922	Loranthaceae;Dendrophthoe;vitellina;(F. Muell.) Tieghem;B.M. Wiecek 1996;NSW 395922
50	10518	H020	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	280	1506	1970	0	2915	B.M. Wiecek 1996	NSW 395919	Loranthaceae;Amyema;cambagei;(Blakely) Danser;B.M. Wiecek 1996;NSW 395919
51	10520	H017	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	313	1696	1955	0	3333	P.G. Wilson 1996	NSW 395916	Myrtaceae;Leptospermum;brevipes;F. Muell.;P.G. Wilson 1996;NSW 395916
52	10521	H018	NULL	NULL	2006-01-09	2006-09-27	Hewson-Smith, Sheridan	Hewson-Smith, Sheridan	0	32	1769	2312	2706	3164	D.C. Godden 1996	NSW 395917	Thymelaeaceae;Pimelea;linifolia;collina;(R. Br.) Threlfall;D.C. Godden 1996;NSW 395917
