HostMNLUID	familyHostMNL	genusHostMNL	speciesHostMNL	subspeciesHostMNL	authorHostMNL	oldHOstAuthor	oldHOstFamily
4511	Fabaceae	Acacia	? fimbriata	no subspecies	none		Mimosaceae
4470	Myrtaceae	Eucalyptus	? sheathiana	no subspecies	none		Myrtaceae
626	Pinaceae	Picea	abies	no subspecies	(L.) H. Karst.	(L.) Karst.	Pinaceae
1859	Santalaceae	Santalum	acuminatum	no subspecies	(R. Br.) A. DC.	(R. & P.) Pers.	Santalaceae
1865	Myrtaceae	Baeckea	aff. pentagonantha	no subspecies	none		Myrtaceae
1866	Cupressaceae	Callitris	aff. roei	no subspecies	(Endl.) F.Muell.		Cupressaceae
8822	Asteraceae	Eriocephalus	africanus	no subspecies	(L.)	L.	Asteraceae
8567	Proteaceae	Grevillea	agrifolia	no subspecies	A.Cunn. ex R.Br.	R.Br.	Proteaceae
12854	Lamiaceae	Stachys	albens	no subspecies	A.Gray	Gray	Labiatae
8575	Myrtaceae	Kunzea	ambigua	no subspecies	(Smith) Druce	(Sm.) Druce	Myrtaceae
643	Asteraceae	Ambrosia	ambrosioides	no subspecies	(Cav.) W.W. Payne	(Cav.) Payne	Asteraceae
1888	Fabaceae	Acacia	aneura	no subspecies	Benth.	F. Muell. ex Benth.	Fabaceae
1888	Fabaceae	Acacia	aneura	no subspecies	Benth.	F.Muell. ex Benth.	Fabaceae
2823	Fabaceae	Acacia	aneura	var. aneura	F.Muell. ex Benth.	Benth.	Mimosaceae
1898	Asteraceae	Chrysocephalum	apiculatum	no subspecies	(Labill.) Steetz.	(Labill.) Steetz	Asteraceae
1899	Asteraceae	Chrysocephalum	apiculatum/semipapposum complex	no subspecies	none		Asteraceae
1901	Orobanchaceae	Castilleja	applegatei	no subspecies	Fernald	Fern.	Scrophulariaceae
13886	Sapindaceae	Harpullia	arborea	no subspecies	Radlk.	(Blanco) Radlk.	Sapindaceae
4496	Fabaceae	Acacia	aroma	no subspecies	Gillies ex Hook. & Arn.	Gillies ex Hook & Arn.	Fabaceae
2717	Fabaceae	Senna	artemisioides	filifolia	(DC.) Randell	Randell	Fabaceae
1912	Fabaceae	Senna	artemisioides	no subspecies	(Gaudich. ex DC.) Randell	(DC.) Randell	Caesalpiniaceae
2863	Phrymaceae	Mimulus	aurantiacus	var. pubescens	(Torr.) D. Thompson	(Torr) D. Thompson	Scrophulariaceae
1930	Fabaceae	Acacia	baileyana x ? dealbata (probably)	no subspecies	none		Fabaceae
12878	Cupressaceae	Callitris	baileyi	no subspecies	C.T.White		Cupressaceae
9995	Cupressaceae	Juniperus	californica	no subspecies	Carrière	Carr.	Cupressaceae
10027	Asteraceae	Gutierrezia	californica	no subspecies	(DC.) Torr. & A. Gray	(DC.) Torr. & Gray	Asteraceae
680	Malvaceae	Fremontodendron	californicum	no subspecies	(Torr.) Coville	(Torr.) Corville	Sterculiaceae
1969	Myrtaceae	Eucalyptus	camaldulensis	no subspecies	Dehnh.		Myrtaceae
1975	Viscaceae	Viscum	capense	no subspecies		L.f.	Viscaceae
4475	Myrtaceae	Melaleuca	cf. viminea	no subspecies	none		Myrtaceae
5781	Cupressaceae	Callitris	columellaris	no subspecies	F.Muell	F.Muell.	Cupressaceae
5781	Cupressaceae	Callitris	columellaris	no subspecies	F.Muell		Cupressaceae
1427	Asteraceae	Eriophyllum	confertiflorum	no subspecies	(DC.) A. Gray	(DC.)	Asteraceae
2031	Poaceae	Heteropogon	contortus	no subspecies	(L.) Roem. & Schult.	(L.) P. Beauv. ex Roem. & Schult.	Poaceae
708	Solanaceae	Lycium	cooperi	no subspecies	A. Gray	Gray	Solanaceae
2039	Myrtaceae	Eucalyptus	costata	no subspecies	F. Muell. & Behr ex F. Muell.	Behr & F. Muell. ex F. Muell.	Myrtaceae
716	Rhamnaceae	Ceanothus	cuneatus	no subspecies	(Hook.) Nutt.		Rhamnaceae
2708	Casuarinaceae	Casuarina	cunninghamiana	subsp. cunninghamiana	Miq.		Casuarinaceae
13795	Nothofagaceae	Nothofagus	cunninghamii	no subspecies	(Hook.) Oerst.	(Hook.) Dersted	Fagaceae
2060	Fabaceae	Acacia	cyclops	no subspecies	A. Cunn	G. Don	Mimosaceae
2715	Asteraceae	Olearia	dampieri	eremicola	(Diels) Lander ms	(DC.) Lander	Asteraceae
7109	Scrophulariaceae	Eremophila	decipiens	decipiens	none	Ostenf.	Myoporaceae
16043	Myoporaceae	Eremophila	decipiens	decipiens	none	Ostenf.	Myoporaceae
7109	Scrophulariaceae	Eremophila	decipiens	decipiens	none	Ostenf.	Scrophulariaceae
16043	Myoporaceae	Eremophila	decipiens	decipiens	none	Ostenf.	Scrophulariaceae
5203	Poaceae	Bothriochloa	decipiens	var. decipiens	none		Poaceae
5204	Proteaceae	Grevillea	decora	subsp. decora	none		Proteaceae
12146	Malvaceae	Lawrencia	densiflora	no subspecies	Baker f. (Melville)	(Baker f.) Melville	Malvaceae
2091	Casuarinaceae	Allocasuarina	distyla	no subspecies	L.A.S. Johnson	(Vent.) L.A.S. Johnson	Casuarinaceae
6844	Asteraceae	Helminthotheca	echioides	no subspecies	(L.) Holub	L.	Asteraceae
8801	Ericaceae	Monotoca	elliptica	no subspecies	(Sm.) R.Br.		Ericaceae
13802	Fabaceae	Oxylobium	ellipticum	no subspecies	(Vent.) R.Br.	(Labill.) R. Br.	Fabaceae
5894	Cupressaceae	Callitris	endlicheri	no subspecies	(Parl.) F.M.Bailey		Cupressaceae
8641	Rosaceae	Adenostoma	fasciculatum	no subspecies	Hook. & Arn.	H. & A.	Rosaceae
745	Asteraceae	Hymenopappus	filifolius	no subspecies	none		Asteraceae
5900	Asteraceae	Hymenopappus	filifolius	eriopodus	none		Asteraceae
747	Pinaceae	Pinus	flexilis	no subspecies	E. James	James	Pinaceae
14170	Asteraceae	Athanasia	flexuosa	no subspecies	Thunb.	Thurb.	Asteraceae
2154	Fabaceae	Senna	form taxon 'alicia'	no subspecies	none		Fabaceae
2155	Fabaceae	Senna	form taxon 'artemisioides'	no subspecies	none		Fabaceae
2156	Fabaceae	Senna	form taxon 'coriacea'	no subspecies	none		Fabaceae
2157	Fabaceae	Senna	form taxon 'helmsii'	no subspecies	none		Fabaceae
2158	Fabaceae	Senna	form taxon 'petiolaris'	no subspecies	none		Fabaceae
2159	Fabaceae	Senna	form taxon 'stuartii'	no subspecies	none		Fabaceae
2160	Fabaceae	Senna	form taxon 'sturtii'	no subspecies	none		Fabaceae
2162	Scrophulariaceae	Eremophila	forrestii	no subspecies	F. Muell.	F.Muell	Myoporaceae
16144	Acanthaceae	Dicladanthera	forrestii	no subspecies	F. Muell	F.Muell.	Acanthaceae
14213	Scrophulariaceae	Eremophila	glabra	albicans	Chinnock		Myoporaceae
12334	Rutaceae	Philotheca	glabra	no subspecies	Paul G. Wilson	(Paul G. Wilson) Paul G. Wilson	Rutaceae
14223	Scrophulariaceae	Eremophila	glabra	tomentosa	Chinnock	(R.Br.) Ostenf.	Myoporaceae
14715	Myoporaceae	Eremophila	glabra	tomentosa	Chinnock ms	(R.Br.) Ostenf.	Myoporaceae
2183	Cupressaceae	Callitris	glaucophylla	no subspecies	Joy. Thomps. & L.A.S. Johnson	Joy Thomps. & L.A.S. Johnson	Cupressaceae
2184	Cupressaceae	Callitris	glaucophylla or gracilis	no subspecies	none		Cupressaceae
2186	Rhamnaceae	Spyridium	globulosum	no subspecies	(Labill.) Benth.	Labill.	Rhamnaceae
8879	Myrtaceae	Melaleuca	glomerata	no subspecies	F.Muell.	F.Muell	Myrtaceae
7184	Verbenaceae	Aloysia	gratissima	var. gratissima	none		Verbenaceae
764	Rhamnaceae	Ceanothus	greggii	no subspecies	A. Gray	Gray	Rhamnaceae
9657	Pinaceae	Pinus	greggii	no subspecies	Engelm. ex Parl.	Engelm	Pinaceae
2207	Polygalacea	Muraltia	heisteria	no subspecies	(L.) DC	(L.) DC.	Polygalacea
11721	Fabaceae	Dillwynia	hispida	no subspecies	Lindl.	Lindley	Fabaceae
2227	Solanaceae	Lycium	horridum	no subspecies	Kunth	Thurb.	Solanaceae
2231	Myrtaceae	Micromyrtus	hursthousei ?	no subspecies	W. Fitzg.	W. Fitzgerald	Myrtaceae
2232	Onagraceae	Fuchsia	hybrid	no subspecies	none		Onagraceae
12343	Urticaceae	Urtica	incisa	no subspecies	Poir.	Poir. in Lam	Urticaceae
2762	Chenopodiaceae	Halosarcia	indica	subsp. bidens	(Nees) Paul G. Wilson	(Willd.) Paul G. Wilson	Chenopodiaceae
12630	Thymelaeaceae	Wikstroemia	indica	no subspecies	(L.) C.A. Mey	(L.) C.A. Mey.	Thymelaeaceae
8769	Lamiaceae	Clerodendrum	inerme	no subspecies	(L.) Gaertn.		Verbenaceae
2251	Cupressaceae	Callitris	intratropica	no subspecies	R.T. Baker & H.G. Sm.	Benth.	Cupressaceae
2251	Cupressaceae	Callitris	intratropica	no subspecies	R.T. Baker & H.G. Sm.		Cupressaceae
16089	Asteraceae	Athanasia	juncea	no subspecies	D. Dietr.	(DC.) D. Dietr.	Asteraceae
2267	Fabaceae	Acacia	kempeana	no subspecies	F. Muell.	(F. Muell.) F. Muell.	Fabaceae
2267	Fabaceae	Acacia	kempeana	no subspecies	F. Muell.	F.Muell	Mimosaceae
2711	Asteraceae	Senecio	lautus	dissectifolius	G. Forster ex Willd.	Ali	Asteraceae
12333	Proteaceae	Grevillea	levis	no subspecies	Olde and Marriott	Olde & Marriott	Proteaceae
2310	Myrtaceae	Agonis	linearifolia	no subspecies	(DC.) Sweet	(DC.) Schauer	Myrtaceae
8908	Casuarinaceae	Allocasuarina	littoralis	no subspecies	(Salisb.) L.A.S. Johnson	(Salisb.) L. Johnson	Casuarinaceae
14628	Myoporaceae	Eremophila	longifolia	no subspecies	(R. Br.) F. Muell	(R.Br.) F.Muell.	Myoporaceae
14628	Myoporaceae	Eremophila	longifolia	no subspecies	(R. Br.) F. Muell	(R. Br.) F. Muell.	Myoporaceae
9857	Scrophulariaceae	Eremophila	longifolia	no subspecies	(R. Br.) F. Muell.	R. Br.	Scrophulariaceae
14628	Myoporaceae	Eremophila	longifolia	no subspecies	(R. Br.) F. Muell	R. Br.	Scrophulariaceae
14628	Myoporaceae	Eremophila	longifolia	no subspecies	(R. Br.) F. Muell	(R.Br.) F.Muell.	Scrophulariaceae
2876	Casuarinaceae	Allocasuarina	mackliniana	xerophila	L.A.S. Johnson	L. Johnson	Casuarinaceae
5171	Cupressaceae	Callitris	macleayana	no subspecies	(F. Muell.) F. Muell.		Cupressaceae
6108	Lauraceae	Cryptocarya	macrocarpa/velutinosa	no subspecies	none		Lauraceae
2332	Rutaceae	Flindersia	maculosa	no subspecies	(Lindley) Benth.	(Lindl.) Benth.	Rutaceae
2340	Fabaceae	Acacia	mearnsii	no subspecies	De Wild. [introduced]	(De Wild.) Pedley	Fabaceae-Mimosaceae
2340	Fabaceae	Acacia	mearnsii	no subspecies	De Wild. [introduced]	De Wild.	Fabaceae-Mimosaceae
2340	Fabaceae	Acacia	mearnsii	no subspecies	De Wild. [introduced]	De Wild.	Fabaceae
2349	Proteaceae	Conospermum	microflorum	no subspecies	E.M. Bennett	E.M.Benn.	Proteaceae
2349	Proteaceae	Conospermum	microflorum	no subspecies	E.M. Bennett	E.M. Benn.	Proteaceae
7540	Myrtaceae	Eucalyptus	microtheca	no subspecies	F. Muell.	F.Muell	Myrtaceae
2357	Loranthaceae	Amyema	miquelii	no subspecies	(Lehm. ex Miq.) Tieghem	(Lehm. ex Miq.) Tiegh.	Loranthaceae
2358	Proteaceae	Hakea	mitchellii	no subspecies	Meissn.	Meisn.	Proteaceae
9071	Euphorbiaceae	Mallotus	mollissima	no subspecies	(Geiseler) Airy Shaw		Euphorbiaceae
2360	Asteraceae	Chrysanthemoides	monilifera	no subspecies	(L.) T. Norl.	(L.) Norl.	Asteraceae
5181	Lauraceae	Cryptocarya	murrayi	no subspecies	F. Muell.	F.Muell	Lauraceae
9131	Poaceae	Urochloa	mutica	no subspecies	(Forssk.) T.Q. Nguyen	T.Q. Nguyen	Gramineae
4133	Asteraceae	Ericameria	nauseosa	no subspecies	(Pall. ex Pursh) G.L. Nesom & G.I. Baird	(Pall. ex Pursh) G.L. Nesom & Baird	Asteraceae
12332	Myrtaceae	Melaleuca	nematophylla	no subspecies	F. Muell. ex Craven	Craven	Myrtaceae
11125	Myrtaceae	Eucalyptus	nitida	no subspecies	Hook f.	Hook.f.	Myrtaceae
5574	Rubiaceae	Kailarsenia	ochreata	no subspecies	(F. Muell.) Puttock		Rubiaceae
5574	Rubiaceae	Kailarsenia	ochreata	no subspecies	(F. Muell.) Puttock	F.Muell.	Rubiaceae
7104	Scrophulariaceae	Eremophila	oldfieldii	oldfieldii	F. Muell.	F.Muell	Myoporaceae
2392	Sapindaceae	Alectryon	oleifolius	no subspecies	Reynolds	(Desf) S. Reyn.	Sapindaceae
5210	Moraceae	Ficus	opposita	var. opposita	Miq.		Moraceae
