HostFName	HostGName	HostSpName	HostSSpName	HostAuthorName
Acanthaceae				
Cyperaceae				
Sapindaceae				
Solanaceae				
Unidentified				
Euphorbiaceae				
Poaceae	unidentified			
Fabaceae	?Lebeckia spinescens /Wiborgia			
Undetermined				
Casuarinaceae				
Myrtaceae	unidentified			
Aizoaceae	Tetragonia			
Mesembryanthemaceae				
Mesembryanthemaceae	Sterile material			
Aizoaceae	cf. Galenia			
Apocynaceae				
Restionaceae				
Chenopodiaceae	? Atriplex			
Chenopodiaceae	Undetermined			
Rosaceae				
Undetermined	Undetermined			
Malvaceae				
Compositae				
Unidentified	unidentified			
Apiaceae				
Moraceae	Ficus			
Chenopodiaceae				
Xanthorrhoeaceae				
Sterile material				
Fabaceae	Papilionoideae			
Fabaceae	unidentified			
Poaceae				
Lamiaceae				
Chenopodiaceae	unidentified			
Casuarinaceae	Casuarina			
				
Araliaceae				
Mimosaceae	Acacia			Benth.
Monimiaceae				
Brassicaceae				
Asteraceae				
Fabaceae				
Araceae				
Myrtaceae	Callistemon			R. Br.
Arecaceae				
Fagaceae				
Mimosaceae	Acacia	? fimbriata		
Myrtaceae	Eucalyptus	? sheathiana		
Proteaceae	Grevillea	?banksii		R. Br.
Fabaceae-Mimosaceae	Acacia	?julifera	subsp. julifera	
Acanthaceae	Tetramerium	abditum		(Brandegee) T. Daniel
Pinaceae	Picea	abies		(L.) Karst.
Fabaceae	Aspalathus	abietina		Thurb.
Asteraceae	Senecio	abruptus		Thurb.
Proteaceae	Grevillea	acacioides		McGill.
Myrtaceae	Melaleuca	acerosa		Schauer
Myrtaceae	Calytrix	achaeta		(F. Muell.) Benth.
Santalaceae	Leptomeria	acida		R. Br.
Fabaceae	Acacia	acinacea		Lindl.
Asteraceae	Encelia	actonii		Elmer
Fabaceae	Acacia	acuaria		W. Fitzg.
Fabaceae	Acacia	acuaria		W.Fitzg.
Mimosaceae	Acacia	acuaria		W.Fitzg.
Fabaceae	Parkinsonia	aculeata		L.
Papilionaceae	Jacksonia	aculeata		W. Fitzg.
Asteraceae	Waitzia	acuminata	var. acuminata	Steetz
Asteraceae	Waitzia	acuminata	acuminata	Steetz
Fabaceae	Aspalathus	acuminata	acuminata	(Thunb.) Dahlgren
Asteraceae	Waitzia	acuminata	var. albicans	Paul G.Wilson
Fabaceae	Aspalathus	acuminata	subsp. acuminata	Lam.
Santalaceae	Santalum	acuminatum		(R.Br.) A.DC.
Myoporaceae	Myoporum	acuminatum		R.Br.
Santalaceae	Santalum	acuminatum		(R. & P.) Pers.
Santalaceae	Santalum	acuminatum		(R. Br.) A. DC.
Cupressaceae	Actinostrobus	acuminatus		Parl.
Myrtaceae	Micromyrtus	acuta		Rye
Sapindaceae	Guioa	acutifolia		Radlk.
Myrtaceae	Calytrix	acutifolia		(Lindl.) Craven
Casuarinaceae	Allocasuarina	acutivalvis		(F. Muell.) L.A.S. Johnson
Casuarinaceae	Allocasuarina	acutivalvis	prinsepiana	(C.R.P.Andrews) L.A.S. Johnson
Juncaceae	Juncus	acutus		L.
Sapindaceae	Dodonaea	adenophora		Miq.
Proteaceae	Hakea	adnata		R. Br.
Polygonaceae	Muehlenbeckia	adpressa		(Labill.) Meisn.
Fabaceae	Lupinus	adsurgens		E. Drew
Rubiaceae	Anthospermum	aethiopicum		L.
Adiantaceae	Adiantum	aethiopicum		L.
Rosaceae	Anthospermum	aethiopicum		L.
Asteraceae	Helichrysum	aff. aureofolium		Hilliard
Euphorbiaceae	Croton	aff. lanatus	var. lorentzii	(Müll. Arg. ex Griseb.) P.E. Berry
Myrtaceae	Baeckea	aff. pentagonantha		
Cupressaceae	Callitris	aff. roei		(Endl.) F.Muell.
Cupressaceae	Callitris	aff. roei		
Sterculiaceae	Thomasia	aff. triphylla		J. Gay
Myoporaceae	Eremophila	aff. weldii		F. Muell.
Fabaceae	Swainsona	affinis		(A.T. Lee) Joy Thomps.
Scrophulariaceae	Oftia	africana		(L.) Bocq.
Kiggelariaceae	Kiggelaria	africana		L.
Aizoaceae	Galenia	africana		L.
Asteraceae	Eriocephalus	africana		L.
Flacourtiaceae	Kiggelaria	africana		L.
Lamiaceae	Ballota	africana		(L.) Benth.
Lamiaceae	Ballota	africana		(L.) Benth
Lamiaceae	Salvia	africana-caerulea		L.
Asteraceae	Eriocephalus	africanus		(L.)
Asteraceae	Eriocephalus	africanus		L.
Aizoaceae	Ruschia	aggregata		L.Bolus
Proteaceae	Grevillea	agrifolia		R.Br.
Fagaceae	Quercus	agrifolia		Née
Labiatae	Stachys	ajugoides		Benth.
Fabaceae	Prosopis	alba		Griseb.
Labiatae	Stachys	albens		Gray
Chenopodiaceae	Manochlamys	albicans		(Ait.) Aellen
Amaranthaceae	Manochlamys	albicans		(Ait.) Aell.
Lamiaceae	Hyptis	albida		Kunth
Asteraceae	Conyza	albida		Willd. ex Spreng.
Fabaceae	Lupinus	albifrons		Benth.
Chenopodiaceae	Chenopodium	album		L.
